id	title	createdAt	duration	model	tags	catalogMatched	canPlay	coverRelativePath	audioRelativePath	rightsStatus	releaseAllowed
2bfbe15e-ac6a-487e-94bd-f535bdbe9f7a	हनु मूड खाने	2026-05-24T17:54:12.039Z	2:41	chirp-fenix		true	true	assets/covers/2bfbe15e-ac6a-487e-94bd-f535bdbe9f7a.jpeg	assets/audio/2bfbe15e-ac6a-487e-94bd-f535bdbe9f7a.mp3	NULL	false
75291d2d-784d-46f7-8c5a-774e99eb3e3e	हनु मूड खाने	2026-05-24T17:54:12.039Z	3:01	chirp-fenix		true	true	assets/covers/75291d2d-784d-46f7-8c5a-774e99eb3e3e.jpeg	assets/audio/75291d2d-784d-46f7-8c5a-774e99eb3e3e.mp3	NULL	false
fa8592bb-2d3c-443d-aaf7-9882825a0f19	हनु की पटक	2026-05-24T17:41:31.607Z	2:07	chirp-fenix	फंक	true	true	assets/covers/fa8592bb-2d3c-443d-aaf7-9882825a0f19.jpeg	assets/audio/fa8592bb-2d3c-443d-aaf7-9882825a0f19.mp3	NULL	false
974ae0bf-c90c-47bb-803a-18160360bc54	हनु की पटक	2026-05-24T17:41:31.607Z	2:35	chirp-fenix	फंक	true	true	assets/covers/974ae0bf-c90c-47bb-803a-18160360bc54.jpeg	assets/audio/974ae0bf-c90c-47bb-803a-18160360bc54.mp3	NULL	false
86fe2a68-593c-4b20-a76a-d0f504f89943	छट का दिन	2026-05-24T17:30:52.427Z	2:31	chirp-fenix		true	true	assets/covers/86fe2a68-593c-4b20-a76a-d0f504f89943.jpeg	assets/audio/86fe2a68-593c-4b20-a76a-d0f504f89943.mp3	NULL	false
2f332d7d-3202-4e03-ac8e-c8c057223685	छट का दिन	2026-05-24T17:30:52.427Z	2:27	chirp-fenix		true	true	assets/covers/2f332d7d-3202-4e03-ac8e-c8c057223685.jpeg	assets/audio/2f332d7d-3202-4e03-ac8e-c8c057223685.mp3	NULL	false
01e30f52-01cf-403d-af40-041dac751bd0	स्वरभानु माँ सिखाए	2026-05-24T17:19:43.136Z	3:00	chirp-fenix		true	true	assets/covers/01e30f52-01cf-403d-af40-041dac751bd0.jpeg	assets/audio/01e30f52-01cf-403d-af40-041dac751bd0.mp3	NULL	false
4ddbdc9c-240c-4e5d-8b50-ee61576d136e	स्वरभानु माँ सिखाए	2026-05-24T17:19:43.136Z	3:04	chirp-fenix		true	true	assets/covers/4ddbdc9c-240c-4e5d-8b50-ee61576d136e.jpeg	assets/audio/4ddbdc9c-240c-4e5d-8b50-ee61576d136e.mp3	NULL	false
30e92ffe-423f-48cf-9e93-5fd9bb7113c1	छत-छट ताल	2026-05-24T15:35:00.136Z	4:24	chirp-fenix		true	true	assets/covers/30e92ffe-423f-48cf-9e93-5fd9bb7113c1.jpeg	assets/audio/30e92ffe-423f-48cf-9e93-5fd9bb7113c1.mp3	NULL	false
25e7d717-7de7-45e6-8f5e-c53ef846cac3	छत-छट ताल	2026-05-24T15:35:00.136Z	3:46	chirp-fenix		true	true	assets/covers/25e7d717-7de7-45e6-8f5e-c53ef846cac3.jpeg	assets/audio/25e7d717-7de7-45e6-8f5e-c53ef846cac3.mp3	NULL	false
1bb556f0-a4fb-4994-9096-3ab4f66de0b8	हनुमान-अनुमान छट	2026-05-24T14:22:32.832Z	4:05	chirp-fenix	Heavy cinematic Vedic metal-phonk epic, 115 to 142 BPM, roaring traditional dhol drums, aggressive sub-bass stabs, sharp "Chhat-Chhat" syncopated handclaps, fierce hyper-articulated warrior vocals, parallel bilingual translation grid, zero celebrity likeness.	true	true	assets/covers/1bb556f0-a4fb-4994-9096-3ab4f66de0b8.jpeg	assets/audio/1bb556f0-a4fb-4994-9096-3ab4f66de0b8.mp3	NULL	false
d5f6d9bc-5c76-48d6-859d-957ef84f79b3	हनुमान-अनुमान छट	2026-05-24T14:22:32.832Z	3:57	chirp-fenix	Heavy cinematic Vedic metal-phonk epic, 115 to 142 BPM, roaring traditional dhol drums, aggressive sub-bass stabs, sharp "Chhat-Chhat" syncopated handclaps, fierce hyper-articulated warrior vocals, parallel bilingual translation grid, zero celebrity likeness.	true	true	assets/covers/d5f6d9bc-5c76-48d6-859d-957ef84f79b3.jpeg	assets/audio/d5f6d9bc-5c76-48d6-859d-957ef84f79b3.mp3	NULL	false
ada89c81-d8fa-4ec0-9938-d9435397b7cd	३३-डिजिट नियॉन	2026-05-24T14:12:37.226Z	3:18	chirp-fenix	Hyper-aggressive cinematic Vedic folk-hop epic, 115 BPM, rapid-fire phonetic staccato vocal delivery, heavy electronic dholak sub-bass stabs, sharp "Chhat-Chhat" syncopated handclaps, majestic brass climaxes, parallel bilingual dictionary interface, zero celebrity likeness.	true	true	assets/covers/ada89c81-d8fa-4ec0-9938-d9435397b7cd.jpeg	assets/audio/ada89c81-d8fa-4ec0-9938-d9435397b7cd.mp3	NULL	false
0691bbaf-1f16-453a-9c00-0eecd71d1e14	३३-डिजिट नियॉन	2026-05-24T14:12:37.226Z	3:14	chirp-fenix	Hyper-aggressive cinematic Vedic folk-hop epic, 115 BPM, rapid-fire phonetic staccato vocal delivery, heavy electronic dholak sub-bass stabs, sharp "Chhat-Chhat" syncopated handclaps, majestic brass climaxes, parallel bilingual dictionary interface, zero celebrity likeness.	true	true	assets/covers/0691bbaf-1f16-453a-9c00-0eecd71d1e14.jpeg	assets/audio/0691bbaf-1f16-453a-9c00-0eecd71d1e14.mp3	NULL	false
