id	title	recordKind	cueCount	durationSeconds	timingBasis	timingVerified	syncMode	structuralStatus	issueCount
2f332d7d-3202-4e03-ac8e-c8c057223685	छट का दिन	catalog	34	147.24	ffprobe-duration	false	estimated-spread	pass	0
2bfbe15e-ac6a-487e-94bd-f535bdbe9f7a	हनु मूड खाने	catalog	38	161.16	ffprobe-duration	false	estimated-spread	pass	0
86fe2a68-593c-4b20-a76a-d0f504f89943	हट हट हट होनी तू हट	catalog	34	151.44	ffprobe-duration	false	estimated-spread	pass	0
974ae0bf-c90c-47bb-803a-18160360bc54	हट हट हट होनी तू हट	catalog	38	154.92	ffprobe-duration	false	estimated-spread	pass	0
75291d2d-784d-46f7-8c5a-774e99eb3e3e	सिंहिका पथ दियाये केतु भागे भटका भटक	catalog	38	180.88	ffprobe-duration	false	estimated-spread	pass	0
fa8592bb-2d3c-443d-aaf7-9882825a0f19	हनु की पटक	catalog	38	126.64	ffprobe-duration	false	estimated-spread	pass	0
4ddbdc9c-240c-4e5d-8b50-ee61576d136e	हट हट हट होनी तू हट	catalog	45	184.16	ffprobe-duration	false	estimated-spread	pass	0
01e30f52-01cf-403d-af40-041dac751bd0	स्वरभानु माँ सिखाए	catalog	45	179.72	ffprobe-duration	false	estimated-spread	pass	0
25e7d717-7de7-45e6-8f5e-c53ef846cac3	छत-छट ताल	catalog	30	225.96	ffprobe-duration	false	estimated-spread	pass	0
30e92ffe-423f-48cf-9e93-5fd9bb7113c1	विज़ुअल: अंतरिक्ष में तैरते हुए ३३-डिजिट संख्या	catalog	30	264.28	ffprobe-duration	false	estimated-spread	pass	0
d5f6d9bc-5c76-48d6-859d-957ef84f79b3	हनुमान-अनुमान छट	catalog	28	236.96	ffprobe-duration	false	estimated-spread	pass	0
1bb556f0-a4fb-4994-9096-3ab4f66de0b8	विज़ुअल: अंतरिक्ष में घूमते सूर्य और ग्रहों के ब	catalog	28	244.76	ffprobe-duration	false	estimated-spread	pass	0
ada89c81-d8fa-4ec0-9938-d9435397b7cd	हा... हू... हौ... हन्... हनु... हनु... हनु... मा	catalog	29	197.84	ffprobe-duration	false	estimated-spread	pass	0
a24721b3-51c9-48b8-997b-0aab5ae3f158	Vocals : "हा... हू... हौ... हन्... हनु... हनु...	catalog	7	32.8	ffprobe-duration	false	estimated-spread	pass	0
39c60af7-873d-464c-ab83-86a116aa3a19	ह्-हनु अनुमान	catalog	7	22.44	ffprobe-duration	false	estimated-spread	pass	0
0691bbaf-1f16-453a-9c00-0eecd71d1e14	३३-डिजिट नियॉन	catalog	29	194.04	ffprobe-duration	false	estimated-spread	pass	0
5873f9a6-c7cc-475b-8560-a6200c367731	हनु-मान् हनु	catalog	32	479.4	ffprobe-duration	false	estimated-spread	pass	0
bcb08d50-076e-4408-ae04-389701191ee3	Vocals : "हा... हू... हौ... हन्... हनु... हनु...	catalog	32	479.4	ffprobe-duration	false	estimated-spread	pass	0
31cd60d6-6b7d-4e15-9847-9c3866d60440	जुग सहस्र जोजन पर भानू	catalog	29	216.52	ffprobe-duration	false	estimated-spread	pass	0
7333a108-d5a5-4cf4-9e36-6ce6aec10997	Chhat-Chhat Sanaatana	catalog	14	131.08	ffprobe-duration	false	estimated-spread	pass	0
1fe3b620-3a18-4632-b128-12c1b2245f47	Hyper-dynamic Indian electronic folk-pop	catalog	14	134.88	ffprobe-duration	false	estimated-spread	pass	0
83db2f7e-ae48-418d-9587-c807af8e24e3	चक्र-इंजन शंखनाद	catalog	29	188.16	ffprobe-duration	false	estimated-spread	pass	0
9b8b2f04-0e8b-4270-af63-84bd21bb7574	```text	catalog	41	209	ffprobe-duration	false	estimated-spread	pass	0
1f6a6bc0-d85f-4858-b13d-776e839401cf	द सनातन एक्सप्रेस	catalog	41	199.08	ffprobe-duration	false	estimated-spread	pass	0
ce81e083-36e5-4e52-9024-06159cb42409	काश वो बचपन फिर से लौट आए	catalog	31	206.12	ffprobe-duration	false	estimated-spread	pass	0
684a2e17-9992-459b-970a-279f3f506e59	Kash Bachpan Phir	catalog	31	197.88	ffprobe-duration	false	estimated-spread	pass	0
6d0a9964-c0d3-45cf-925a-c9fa28f97ba3	काश वो बचपन फिर से लौट आए	catalog	23	218.4	ffprobe-duration	false	estimated-spread	pass	0
2cde1a1a-4b66-4a74-ba16-bd13a1f93fd4	छत की चादर	catalog	23	197.76	ffprobe-duration	false	estimated-spread	pass	0
467d741a-c022-402a-b47d-0a2abb53f043	छत वाला सितारों	catalog	23	209.48	ffprobe-duration	false	estimated-spread	pass	0
b1bd425e-a117-432d-81ca-2acb4c87fa00	काश वो बचपन फिर से लौट आए	catalog	23	232.64	ffprobe-duration	false	estimated-spread	pass	0
832210ad-c382-4ee4-8099-264df30ef06c	ताल: आदि तीव्र	catalog	128	358.84	ffprobe-duration	false	estimated-spread	pass	0
236a15f1-5e9d-4489-9d6a-28e76211f10f	काली-कलम-का	catalog	128	354	ffprobe-duration	false	estimated-spread	pass	0
58a470f5-a299-4fb9-b539-f879df9db3c0	🎵 ka kaa rahasya niraalaa	catalog	99	358.24	ffprobe-duration	false	estimated-spread	pass	0
d85bffd9-6420-4844-bef4-34a1ed0cfffd	🎵 क का रहस्य निराला	catalog	83	358.8	ffprobe-duration	false	estimated-spread	pass	0
2cba3a04-39a7-4cb7-8c74-33800f3a25d7	काली कलम	catalog	83	327.8	ffprobe-duration	false	estimated-spread	pass	0
8aee516c-0320-41bb-9f30-695a8a3b34df	कागद काली कलम	catalog	99	332.84	ffprobe-duration	false	estimated-spread	pass	0
3c08a390-57b0-4deb-b710-ffd81cd63cec	Ka Kau Question	catalog	131	337.24	ffprobe-duration	false	estimated-spread	pass	0
c086c759-c522-42a2-9718-bf85eb3d3dc7	ekla chalo re... nahi	catalog	131	346.92	ffprobe-duration	false	estimated-spread	pass	0
0d2391f0-56a0-4e55-b0a6-3054cf623259	Kaahe Kaagaz	catalog	112	286.68	ffprobe-duration	false	estimated-spread	pass	0
8eb95048-e740-4624-99bf-e1c3293c9dfb	Kaahe Kaagaz	catalog	112	280.84	ffprobe-duration	false	estimated-spread	pass	0
e0c8c103-aedf-4560-a5f1-875275518f0f	Kaal Likhe Kaal	catalog	112	294.36	ffprobe-duration	false	estimated-spread	pass	0
da4174c6-2d45-4d98-8050-72dcb85f6fb9	ka kau ke	catalog	112	306.12	ffprobe-duration	false	estimated-spread	pass	0
f090d601-40e5-4874-b303-4bc84220564c	ka kau ke	catalog	51	174.88	ffprobe-duration	false	estimated-spread	pass	0
dec1c74f-f3ae-4b2b-b293-27081aef1c5e	Kaa Rahasya	catalog	51	143.6	ffprobe-duration	false	estimated-spread	pass	0
6c05306f-bf60-44fc-9a7c-cd6a8d07190d	छुक-छुक चलती भाषा की गाड़ी	catalog	28	213.28	ffprobe-duration	false	estimated-spread	pass	0
c0a0b8a2-6b5b-4c50-a7d1-5bd85bd7e24d	छुक-छुक गाड़ी	catalog	28	205.44	ffprobe-duration	false	estimated-spread	pass	0
8334c7f3-00ab-48e5-8e90-fae9c7898ec4	छुक-छुक भाषा गाड़ी	catalog	28	208.28	ffprobe-duration	false	estimated-spread	pass	0
130d4a7c-79cc-4c0e-827e-a011ef1e0689	छुक-छुक भाषा गाड़ी	catalog	28	209.96	ffprobe-duration	false	estimated-spread	pass	0
935837be-7dfb-4f7d-ae0c-36743a8de966	छुक-छुक चलती भाषा की गाड़ी	catalog	28	218.4	ffprobe-duration	false	estimated-spread	pass	0
4de46a49-de10-4bc4-8e89-bded6e92e5e8	छुक-छुक भाषा गाड़ी	catalog	28	212.6	ffprobe-duration	false	estimated-spread	pass	0
d3047e94-747e-478b-84d0-ebcd931b6ebf	छुक-छुक कोडिंग गाड़ी	catalog	36	256.8	ffprobe-duration	false	estimated-spread	pass	0
9438a33e-1869-4686-89f7-2b1b3746fbe8	छुक-छुक चलती कोडिंग की गाड़ी	catalog	36	267.64	ffprobe-duration	false	estimated-spread	pass	0
61a1c2e8-6e9b-4636-b976-9c0a3c82cc60	राजधर्म चक्र	catalog	41	212.92	ffprobe-duration	false	estimated-spread	pass	0
2ed5e119-5a3e-4f8f-9802-0b0a921375b4	महामात्य का आदेश सुनो अब	catalog	41	226.92	ffprobe-duration	false	estimated-spread	pass	0
0551f9c5-85b2-43c5-a715-b29b3a10df0c	कबीर निर्गुण	catalog	41	224.92	ffprobe-duration	false	estimated-spread	pass	0
5791e93b-a997-4765-b8d1-c0fcbb88c384	धारानगरी का वो राजा	catalog	41	258.12	ffprobe-duration	false	estimated-spread	pass	0
77a40556-adc6-4bd2-bf2d-3bfac249ad2a	मूल्यों के प्रति ये निष्ठा अपनी	catalog	41	240.32	ffprobe-duration	false	estimated-spread	pass	0
c7fabad5-bd6d-4a60-b985-ad0aae6819c3	चणक्य चांदी	catalog	47	219.72	ffprobe-duration	false	estimated-spread	pass	0
f9f70b24-e62f-40a2-b42f-f3a0ba272777	संप्रभुता का डंका	catalog	41	233.24	ffprobe-duration	false	estimated-spread	pass	0
fc641c78-b723-4744-a9f0-93ca40542e4f	समाज की खोज का सुनो इतिहास	catalog	47	225.56	ffprobe-duration	false	estimated-spread	pass	0
4573b54b-63f0-4dac-9e7a-4ba9ddf8acbc	समाज की खोज का सुनो इतिहास	catalog	20	115.56	ffprobe-duration	false	estimated-spread	pass	0
e1ec848b-c158-4366-ba75-bb0d12943801	चाणक्य सिक्का	catalog	20	99.48	ffprobe-duration	false	estimated-spread	pass	0
2b968ed3-b8ee-44e4-ad96-e3da7d583ae0	कौतूहल की दुनिया में लॉजिक अपार है	catalog	51	232.64	ffprobe-duration	false	estimated-spread	pass	0
da33361a-8617-4815-b444-dd6d95f00bca	डिजिटल गुरुकुल	catalog	51	218.52	ffprobe-duration	false	estimated-spread	pass	0
f31751f4-ec55-4c42-a423-07f42895a464	कौतूहल की दुनिया में लॉजिक अपार है	catalog	21	124.96	ffprobe-duration	false	estimated-spread	pass	0
cc265065-cce9-480d-8e32-6f6530047d9b	कक्षा सात का गणित प्रकाश	catalog	37	201.12	ffprobe-duration	false	estimated-spread	pass	0
05bb41b7-0a36-4c99-a245-d5d727f902c3	लिटमस परिपथ	catalog	21	92.28	ffprobe-duration	false	estimated-spread	pass	0
